# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.27117e-07     	smoothSolver	5.04461160e-05	3.99933400e-12	1	1.60876450e-01	3.90856200e-13	1	false	smoothSolver	2.67530250e-03	1.70597390e-12	1	true	DILUPBiCGStab	3.69202640e-03	4.13487250e-11	1	true	DILUPBiCGStab	1.47584890e-06	5.14866940e-14	1	true	GAMG	2.65523250e-03	1.28866340e-13	1	true
1.5374e-07      	smoothSolver	6.03045230e-05	3.33715580e-12	1	1.59804510e-01	4.94363680e-13	1	false	smoothSolver	2.65283100e-03	1.42152660e-12	1	true	DILUPBiCGStab	3.65914540e-03	5.88544200e-11	1	true	DILUPBiCGStab	1.77092870e-06	8.89610050e-14	1	true	GAMG	2.62878180e-03	1.21115240e-13	1	true
1.85688e-07     	smoothSolver	7.20927960e-05	2.71387950e-12	1	1.58911470e-01	6.22513250e-13	1	false	smoothSolver	2.63540850e-03	1.15487300e-12	1	true	DILUPBiCGStab	3.63287760e-03	8.39201520e-11	1	true	DILUPBiCGStab	2.12500190e-06	1.53706590e-13	1	true	GAMG	2.60661510e-03	1.02857350e-13	1	true
2.24026e-07     	smoothSolver	8.61788230e-05	2.30254440e-12	1	1.58163860e-01	7.79915840e-13	1	false	smoothSolver	2.62229580e-03	9.63296340e-13	1	true	DILUPBiCGStab	3.61213350e-03	1.19851120e-10	1	true	DILUPBiCGStab	2.54988810e-06	2.65573880e-13	1	true	GAMG	2.58785100e-03	8.50340110e-14	1	true
2.70031e-07     	smoothSolver	1.02991250e-04	1.84160590e-12	1	1.57528230e-01	9.68343350e-13	1	false	smoothSolver	2.61282870e-03	8.11397770e-13	1	true	DILUPBiCGStab	3.59591100e-03	1.71381240e-10	1	true	DILUPBiCGStab	3.05961340e-06	4.58804870e-13	1	true	GAMG	2.57166220e-03	7.64969280e-14	1	true
3.25237e-07     	smoothSolver	1.23041320e-04	1.53000600e-12	1	1.56987510e-01	1.19095880e-12	1	false	smoothSolver	2.60672820e-03	6.65037890e-13	1	true	DILUPBiCGStab	3.58372190e-03	2.45367690e-10	1	true	DILUPBiCGStab	3.67119970e-06	7.92630460e-13	1	true	GAMG	2.55757750e-03	5.17636530e-14	1	true
3.91485e-07     	smoothSolver	1.46919510e-04	1.29355190e-12	1	1.56516430e-01	1.46150410e-12	1	false	smoothSolver	2.60361700e-03	5.60145680e-13	1	true	DILUPBiCGStab	3.57491990e-03	3.51648440e-10	1	true	DILUPBiCGStab	4.40478820e-06	1.36916200e-12	1	true	GAMG	2.54500310e-03	4.69285630e-14	1	true
4.70983e-07     	smoothSolver	1.75318390e-04	1.01338060e-12	1	1.56100930e-01	1.82514990e-12	1	false	smoothSolver	2.60339350e-03	4.68423330e-13	1	true	DILUPBiCGStab	3.56921610e-03	5.04490500e-10	1	true	DILUPBiCGStab	5.28514630e-06	2.36476560e-12	1	true	GAMG	2.53358920e-03	3.95293300e-14	1	true
5.66376e-07     	smoothSolver	2.09017890e-04	8.58951480e-13	1	1.55715500e-01	2.29598120e-12	1	false	smoothSolver	2.60579190e-03	3.89465140e-13	1	true	DILUPBiCGStab	3.56610500e-03	7.24140910e-10	1	true	DILUPBiCGStab	6.34105820e-06	4.08263090e-12	1	true	GAMG	2.52279950e-03	4.09361230e-14	1	true
6.66379e-07     	smoothSolver	2.17498370e-04	6.94079660e-13	1	1.38456290e-01	1.92562290e-12	1	false	smoothSolver	2.28187790e-03	3.28467010e-13	1	true	DILUPBiCGStab	3.11599680e-03	6.94577230e-10	1	true	DILUPBiCGStab	6.64425720e-06	4.69850110e-12	1	true	GAMG	2.19621310e-03	3.51417540e-14	1	true
7.66383e-07     	smoothSolver	2.15429930e-04	6.01349980e-13	1	1.20395460e-01	1.42168830e-12	1	false	smoothSolver	1.94836930e-03	2.84345770e-13	1	true	DILUPBiCGStab	2.65458530e-03	5.91396250e-10	1	true	DILUPBiCGStab	6.63940580e-06	4.69165650e-12	1	true	GAMG	1.86410540e-03	3.02319430e-14	1	true
8.66386e-07     	smoothSolver	2.13189720e-04	5.16958860e-13	1	1.06688330e-01	1.06794250e-12	1	false	smoothSolver	1.70157730e-03	2.38285010e-13	1	true	DILUPBiCGStab	2.31328050e-03	5.15128500e-10	1	true	DILUPBiCGStab	6.63372340e-06	4.68354280e-12	1	true	GAMG	1.61861070e-03	2.41746520e-14	1	true
9.66389e-07     	smoothSolver	2.10964080e-04	4.52399660e-13	1	9.58740440e-02	8.15391200e-13	1	false	smoothSolver	1.51153860e-03	2.16238520e-13	1	true	DILUPBiCGStab	2.05056380e-03	4.56444960e-10	1	true	DILUPBiCGStab	6.62750900e-06	4.67437770e-12	1	true	GAMG	1.42978580e-03	2.21590180e-14	1	true
1.06639e-06     	smoothSolver	2.08765330e-04	4.05105390e-13	1	8.70963720e-02	6.24345380e-13	1	false	smoothSolver	1.36066980e-03	1.92674830e-13	1	true	DILUPBiCGStab	1.84207480e-03	4.09877150e-10	1	true	DILUPBiCGStab	6.62054460e-06	4.66403390e-12	1	true	GAMG	1.28006410e-03	2.01920670e-14	1	true
1.1664e-06      	smoothSolver	2.06603640e-04	3.64832740e-13	1	7.98145060e-02	4.42187100e-13	1	false	smoothSolver	1.23797210e-03	1.80385620e-13	1	true	DILUPBiCGStab	1.67258570e-03	3.71972280e-10	1	true	DILUPBiCGStab	6.61222410e-06	4.65156290e-12	1	true	GAMG	1.15845810e-03	1.77897260e-14	1	true
