# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
9.75629e-07     	smoothSolver	1.45118900e-03	2.09588980e-12	1	9.50883170e-02	4.71099660e-12	1	false	smoothSolver	1.46288300e-03	2.58371570e-12	1	true	DILUPBiCGStab	1.34280540e-02	1.92470460e-11	1	true	DILUPBiCGStab	7.30160620e-07	7.30160620e-07	0	true	GAMG	1.45497370e-03	2.51538620e-13	1	true
1.0759e-06      	smoothSolver	1.30652210e-03	1.79457910e-12	1	8.65607270e-02	4.08918590e-12	1	false	smoothSolver	1.31290540e-03	2.31932500e-12	1	true	DILUPBiCGStab	1.20527360e-02	1.72713640e-11	1	true	DILUPBiCGStab	7.26071210e-07	7.26071210e-07	0	true	GAMG	1.30502080e-03	2.12406230e-13	1	true
1.17617e-06     	smoothSolver	1.18840660e-03	1.54942170e-12	1	7.94561000e-02	3.60498020e-12	1	false	smoothSolver	1.19057360e-03	2.12475670e-12	1	true	DILUPBiCGStab	1.09310980e-02	1.56614120e-11	1	true	DILUPBiCGStab	7.21996080e-07	7.21996080e-07	0	true	GAMG	1.18272070e-03	2.03790140e-13	1	true
1.27644e-06     	smoothSolver	1.09003870e-03	1.34203870e-12	1	7.34383560e-02	3.22265610e-12	1	false	smoothSolver	1.08882750e-03	1.94087680e-12	1	true	DILUPBiCGStab	9.99890710e-03	1.43027500e-11	1	true	DILUPBiCGStab	7.17940830e-07	7.17940830e-07	0	true	GAMG	1.08102450e-03	2.06226350e-13	1	true
1.37671e-06     	smoothSolver	1.00677210e-03	1.19582780e-12	1	6.82713260e-02	2.91764840e-12	1	false	smoothSolver	1.00321630e-03	1.76332210e-12	1	true	DILUPBiCGStab	9.21211810e-03	1.31644330e-11	1	true	DILUPBiCGStab	7.13928260e-07	7.13928260e-07	0	true	GAMG	9.95667970e-04	1.82251690e-13	1	true
1.47698e-06     	smoothSolver	9.35323240e-04	1.02707670e-12	1	6.37838880e-02	2.66972320e-12	1	false	smoothSolver	9.30418990e-04	1.67979160e-12	1	true	DILUPBiCGStab	8.53911830e-03	1.21915810e-11	1	true	DILUPBiCGStab	7.09952700e-07	7.09952700e-07	0	true	GAMG	9.22946630e-04	1.62870890e-13	1	true
1.57725e-06     	smoothSolver	8.73303860e-04	9.32114490e-13	1	5.98479280e-02	2.46250560e-12	1	false	smoothSolver	8.67667690e-04	1.58764420e-12	1	true	DILUPBiCGStab	7.95683590e-03	1.13530190e-11	1	true	DILUPBiCGStab	7.05960890e-07	7.05960890e-07	0	true	GAMG	8.60491970e-04	1.59084530e-13	1	true
1.67752e-06     	smoothSolver	8.18933880e-04	8.32459700e-13	1	5.63662270e-02	2.28900530e-12	1	false	smoothSolver	8.13275330e-04	1.47085040e-12	1	true	DILUPBiCGStab	7.44812380e-03	1.06232580e-11	1	true	DILUPBiCGStab	7.01998570e-07	7.01998570e-07	0	true	GAMG	8.06159020e-04	1.43743880e-13	1	true
1.7778e-06      	smoothSolver	7.70868350e-04	7.59712270e-13	1	5.32620700e-02	2.14139650e-12	1	false	smoothSolver	7.65379810e-04	1.36262520e-12	1	true	DILUPBiCGStab	7.00014570e-03	9.98285400e-12	1	true	DILUPBiCGStab	6.98041290e-07	6.98041290e-07	0	true	GAMG	7.58322900e-04	1.42332310e-13	1	true
1.87807e-06     	smoothSolver	7.28058000e-04	6.79929650e-13	1	5.04775520e-02	2.00234170e-12	1	false	smoothSolver	7.22890820e-04	1.25590730e-12	1	true	DILUPBiCGStab	6.60252300e-03	9.40035200e-12	1	true	DILUPBiCGStab	6.93809070e-07	6.93809070e-07	0	true	GAMG	7.15894610e-04	1.35851870e-13	1	true
